,0
0,0
1,0
2,2
3,2
4,0
5,2
6,2
7,0
8,2
9,2
10,0
11,1
12,0
13,1
14,1
15,2
16,0
17,1
18,1
19,0
20,2
21,2
22,2
23,1
24,1
25,2
26,2
27,2
28,2
29,2
30,1
31,0
32,2
33,2
34,2
35,2
36,1
37,2
38,2
39,0
40,2
41,0
42,2
43,0
44,0
45,2
46,0
47,0
48,2
49,2
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,2
58,0
59,2
60,0
61,1
62,2
63,0
64,0
65,1
66,2
67,1
68,1
69,2
70,2
71,1
72,1
73,2
74,2
75,1
76,0
77,0
78,2
79,2
80,2
81,2
82,0
83,1
84,2
85,2
86,0
87,0
88,2
89,0
90,2
91,1
92,1
93,1
94,0
95,2
96,2
97,0
98,0
99,2
100,0
101,1
102,0
103,0
104,0
